marker_type,x,y,z,long_range,area_id
ScrapMetalPart,-848361,1027288,15616,f,11
FuelCellPart,-844205,991591,17436,f,11
FuelCellPart,-831502,1017086,15249,f,11
RhyolitePickup,-832452,1024188,15638,f,11
BauxitePickup,-837980,991014,17115,f,11
BrittleBush,-1036652,-140070,1839,f,19
ScrapMetalPart,-1028226,-141134,1722,f,19
ScrapMetalWreckage,-1027822,-141627,1490,f,19
AzuritePickup,-1029985,-140498,2152,f,19
ScrapMetalWreckage,-1020240,-126493,816,f,19
ScrapMetalPart,-1028058,-141653,1508,f,19
ScrapMetalPart,-1045637,-110423,784,f,19
BrittleBush,-1046044,-110749,811,f,19
AzuritePickup,-1037116,-138586,1653,f,19
ScrapMetalPart,-1028269,-139064,1945,f,19
ScrapMetalPart,-1032194,-140496,2478,f,19
RhyolitePickup,-1042119,-107717,961,f,19
ScrapMetalWreckage,-1028910,-139272,2108,f,19
BrittleBush,-1032896,-141348,2237,f,19
BrittleBush,-1051736,-104570,1301,f,19
ScrapMetalPart,-1042290,-102411,1163,f,19
ScrapMetalPart,-1045273,-109800,812,f,19
RhyolitePickup,-1028602,-142286,1395,f,19
ScrapMetalWreckage,-1028192,-138077,1932,f,19
ScrapMetalWreckage,-1042012,-109098,631,f,19
ScrapMetalPart,-1028216,-137837,1934,f,19
ScrapMetalPart,-1026993,-140271,1592,f,19
ScrapMetalPart,-1028553,-138326,2012,f,19
FuelCellWreckage,-1030827,-140856,2178,f,19
ScrapMetalPart,-1043979,-109225,875,f,19
FuelCellPart,-1029278,-137858,2293,f,19
ScrapMetalWreckage,-1041056,-109513,458,f,19
ScrapMetalWreckage,-1028245,-141122,1724,f,19
AzuritePickup,-1047084,-110120,847,f,19
ScrapMetalPart,-1029759,-141057,1929,f,19
ScrapMetalPart,-1028836,-137696,2133,f,19
StravidiumPickup,-1049596,-109423,989,f,19
FuelCellPart,-1029229,-138254,2257,f,19
ScrapMetalWreckage,-1045122,-109871,767,f,19
ScrapMetalWreckage,-1043487,-110015,685,f,19
ScrapMetalPart,-1028908,-139276,2113,f,19
ScrapMetalPart,-1028659,-142065,1440,f,19
BrittleBush,-1050878,-105183,1210,f,19
ScrapMetalWreckage,-977934,-85891,1728,f,81
BrittleBush,-972935,-91842,1410,f,81
RhyolitePickup,-976168,-93442,1802,f,81
ScrapMetalPart,-977986,-87270,1964,f,81
ScrapMetalWreckage,-976843,-94748,1606,f,81
ScrapMetalPart,-974763,-89158,1846,f,81
ScrapMetalPart,-977196,-86091,1707,f,81
BasaltOre,-975951,-91775,2766,f,81
FuelCellPart,-976670,-93787,1798,f,81
ScrapMetalPart,-973153,-93182,1244,f,81
ScrapMetalWreckage,-977267,-85937,1748,f,81
ScrapMetalPart,-977791,-85999,1700,f,81
FuelCellPart,-976848,-93497,1926,f,81
BasaltPickup,-976273,-92004,2761,f,81
StravidiumPickup,-974180,-87918,1508,f,81
RhyolitePickup,-976460,-96054,1257,f,81
FuelCellPart,-972918,-93671,1280,f,81
ScrapMetalPart,-975880,-94009,1603,f,81
RhyolitePickup,-976311,-93741,1734,f,81
ScrapMetalWreckage,-976050,-94181,1600,f,81
RhyolitePickup,-976472,-94063,1681,f,81
AzuritePickup,-976971,-96506,1260,f,81
StravidiumOre,-973962,-88068,1500,f,81
ScrapMetalWreckage,-977974,-87287,1972,f,81
ScrapMetalPart,-976857,-94753,1613,f,81
AzuritePickup,-974574,-94483,1127,f,81
ScrapMetalWreckage,-922962,-3736,2442,f,81
ScrapMetalPart,-923414,-4659,2434,f,81
ScrapMetalPart,-915918,-748,3766,f,81
BrittleBush,-910880,6952,6594,f,81
ScrapMetalPart,-925882,11887,1779,f,81
BrittleBush,-917283,11784,4579,f,81
FuelCellPart,-924572,-1181,2087,f,81
AzuritePickup,-918425,1334,4275,f,81
RhyolitePickup,-906725,-17716,1230,f,81
ScrapMetalWreckage,-924680,30203,1190,f,81
FuelCellPart,-906266,-17786,1262,f,81
TitaniumOre,-919484,14007,7177,f,81
FuelCellPart,-923149,-12345,1046,f,81
ScrapMetalWreckage,-928476,6192,1983,f,81
ScrapMetalPart,-926472,13552,1408,f,81
RhyolitePickup,-924938,18064,1480,f,81
ScrapMetalPart,-905017,7156,4019,f,81
ScrapMetalWreckage,-915820,-17484,1124,f,81
AzuritePickup,-913181,24783,1647,f,81
ScrapMetalPart,-923440,3460,3979,f,81
ScrapMetalPart,-925502,-1757,1870,f,81
FuelCellPart,-929835,4444,2225,f,81
BauxiteOre,-912310,2730,8682,f,81
RhyolitePickup,-917236,-8484,3156,f,81
FuelCellPart,-924134,-11061,1231,f,81
ScrapMetalPart,-923259,-13295,914,f,81
ScrapMetalPart,-914686,-8029,3616,f,81
ScrapMetalPart,-921403,-7558,2627,f,81
FuelCellPart,-925815,9020,2081,f,81
ScrapMetalWreckage,-924846,29360,1029,f,81
ScrapMetalPart,-893906,-301,833,f,81
ScrapMetalWreckage,-925688,12067,1829,f,81
ScrapMetalPart,-922704,30830,908,f,81
ScrapMetalPart,-917613,-3494,3327,f,81
ScrapMetalWreckage,-916184,-11088,3041,f,81
ScrapMetalWreckage,-925154,13805,1782,f,81
ScrapMetalPart,-904950,11282,3439,f,81
ScrapMetalWreckage,-925789,12990,1683,f,81
RhyolitePickup,-925463,-5699,2355,f,81
ScrapMetalWreckage,-924876,-4236,2203,f,81
ScrapMetalWreckage,-915909,-1016,3733,f,81
StravidiumPickup,-916333,18052,5848,f,81
ScrapMetalWreckage,-894896,-2208,1199,f,81
ScrapMetalWreckage,-915453,-9787,3221,f,81
BrittleBush,-919560,-3021,2991,f,81
FuelCellPart,-923936,28044,696,f,81
ScrapMetalPart,-924062,29343,781,f,81
ScrapMetalWreckage,-904825,7154,3994,f,81
ScrapMetalPart,-929290,-1152,1514,f,81
FuelCellPart,-902799,-7197,3611,f,81
RhyoliteOre,-906971,-6132,5053,f,81
BrittleBush,-921151,1235,3173,f,81
ScrapMetalPart,-907620,-99,5259,f,81
RhyolitePickup,-923515,-9268,1779,f,81
BrittleBush,-930406,7559,1013,f,81
ScrapMetalPart,-924935,13655,1857,f,81
ScrapMetalPart,-902775,-5521,3739,f,81
ScrapMetalWreckage,-922251,6900,3480,f,81
FuelCellPart,-897164,14687,1473,f,81
BauxitePickup,-920488,9131,4390,f,81
ScrapMetalWreckage,-895730,8158,1785,f,81
StravidiumOre,-916125,18015,5383,f,81
ScrapMetalWreckage,-929455,-1360,1494,f,81
ScrapMetalPart,-923647,-5871,2463,f,81
RhyolitePickup,-899331,-9447,1370,f,81
StravidiumPickup,-920480,15437,8378,f,81
FuelCellWreckage,-919537,-8734,2870,f,81
ScrapMetalPart,-921149,-4164,2879,f,81
ScrapMetalWreckage,-918060,14947,7270,f,81
RhyolitePickup,-912626,-17696,1012,f,81
ScrapMetalPart,-909638,10556,6075,f,81
ScrapMetalPart,-924846,30356,1286,f,81
ScrapMetalPart,-923734,-4601,2365,f,81
AzuriteOre,-900499,-10185,2469,f,81
ScrapMetalPart,-923722,30987,960,f,81
ScrapMetalWreckage,-914847,-8154,3558,f,81
ScrapMetalWreckage,-925426,-2013,1858,f,81
ScrapMetalWreckage,-907264,16496,3164,f,81
ScrapMetalPart,-925251,-1048,2028,f,81
ScrapMetalWreckage,-929269,9829,1292,f,81
AzuritePickup,-922603,-11567,1290,f,81
ScrapMetalWreckage,-896399,-1327,1328,f,81
ScrapMetalWreckage,-925256,-959,2044,f,81
AzuritePickup,-907289,19433,2397,f,81
TitaniumOre,-921723,802,2994,f,81
BrittleBush,-910827,3004,6028,f,81
FuelCellPart,-917035,-5678,3435,f,81
ScrapMetalWreckage,-909989,-17518,1059,f,81
ScrapMetalWreckage,-924512,-10770,1292,f,81
ScrapMetalPart,-911930,15857,4196,f,81
ScrapMetalPart,-909569,21573,2028,f,81
FuelCellPart,-915413,-7277,3626,f,81
FuelCellPart,-926732,27103,1003,f,81
ScrapMetalWreckage,-924209,14038,2047,f,81
AzuritePickup,-923468,-3439,2284,f,81
FuelCellWreckage,-910073,23038,1601,f,81
RhyolitePickup,-916011,6763,9272,f,81
AzuritePickup,-925417,-4128,2149,f,81
BasaltPickup,-900971,-848,2101,f,81
ScrapMetalWreckage,-902921,-5298,3770,f,81
ScrapMetalPart,-921039,-1372,2638,f,81
BrittleBush,-899792,-1194,1889,f,81
AzuritePickup,-904667,10979,3440,f,81
BrittleBush,-913691,20065,2896,f,81
FuelCellPart,-907664,15648,3449,f,81
ScrapMetalWreckage,-912039,16102,4161,f,81
ScrapMetalPart,-916931,-7009,3327,f,81
ScrapMetalWreckage,-909747,10307,6079,f,81
ScrapMetalPart,-926659,15388,1743,f,81
ScrapMetalWreckage,-918235,-5466,3279,f,81
ScrapMetalWreckage,-923759,-4335,2341,f,81
ScrapMetalWreckage,-922385,-723,2493,f,81
AzuritePickup,-914276,6795,9283,f,81
ScrapMetalWreckage,-920911,-2961,2771,f,81
FuelCellPart,-892743,2059,780,f,81
FuelCellPart,-926495,7537,2273,f,81
BasaltPickup,-899987,-6325,3456,f,81
ScrapMetalPart,-925494,10467,2006,f,81
FuelCellWreckage,-907781,15838,3456,f,81
ScrapMetalPart,-919282,-7551,3061,f,81
ScrapMetalPart,-930976,29301,1719,f,81
AzuriteOre,-914213,6970,9250,f,81
FuelCellPart,-917036,7150,9260,f,81
BrittleBush,-913305,3014,8514,f,81
FuelCellPart,-919529,-8747,2886,f,81
ScrapMetalPart,-908364,15889,3651,f,81
ScrapMetalPart,-914697,-12068,2817,f,81
RhyolitePickup,-906356,-14328,2201,f,81
FuelCellPart,-904903,-2234,3992,f,81
BrittleBush,-924759,21239,1280,f,81
ScrapMetalPart,-928783,28338,1323,f,81
ScrapMetalPart,-894986,-2056,1192,f,81
ScrapMetalPart,-914618,-16880,1327,f,81
ScrapMetalPart,-896203,-1156,1242,f,81
BasaltOre,-925557,-10183,1400,f,81
FuelCellPart,-904634,-7738,5721,f,81
ScrapMetalWreckage,-914847,-17010,1274,f,81
ScrapMetalPart,-924777,-10693,1305,f,81
ScrapMetalPart,-925789,12777,1720,f,81
BasaltPickup,-925547,-10198,1406,f,81
ScrapMetalPart,-924611,-4284,2228,f,81
ScrapMetalWreckage,-916323,-1785,3508,f,81
RhyolitePickup,-925261,10722,2064,f,81
FuelCellPart,-913197,-8936,3458,f,81
ScrapMetalWreckage,-923940,-8885,1907,f,81
FuelCellPart,-923340,-10898,1332,f,81
AzuritePickup,-918479,9270,9005,f,81
FuelCellPart,-916156,-1418,3606,f,81
ScrapMetalPart,-927673,-1059,1674,f,81
FuelCellPart,-925340,28472,838,f,81
ScrapMetalPart,-928313,5982,2004,f,81
TitaniumOre,-927640,8482,1922,f,81
ScrapMetalPart,-922685,-7065,2447,f,81
RhyolitePickup,-925001,14419,1807,f,81
ScrapMetalWreckage,-924032,29076,699,f,81
FuelCellPart,-930810,7416,959,f,81
TitaniumPickup,-927486,8723,1875,f,81
RhyoliteOre,-909387,-6866,5763,f,81
FuelCellPart,-895782,12433,1199,f,81
RhyolitePickup,-902153,14215,2451,f,81
ScrapMetalWreckage,-914272,-1673,4316,f,81
RhyolitePickup,-906031,10181,3956,f,81
RhyolitePickup,-924929,-1076,2067,f,81
BrittleBush,-903642,-13717,1793,f,81
ScrapMetalPart,-915653,-9605,3203,f,81
ScrapMetalPart,-908093,18963,2742,f,81
RhyolitePickup,-909045,-7009,5746,f,81
ScrapMetalPart,-924144,30918,1104,f,81
BasaltOre,-906160,-13876,2288,f,81
BasaltPickup,-905851,-13755,2246,f,81
ScrapMetalPart,-914424,-1512,4256,f,81
ScrapMetalPart,-902460,-6936,3566,f,81
AzuritePickup,-925853,21997,846,f,81
ScrapMetalWreckage,-905160,-2605,4111,f,81
RhyoliteOre,-914718,14110,7296,f,81
ScrapMetalPart,-894654,-6058,1466,f,81
FuelCellPart,-922008,-7997,2389,f,81
FuelCellPart,-895157,-1832,1187,f,81
BasaltPickup,-913216,-3558,5726,f,81
ScrapMetalWreckage,-921534,-7302,2616,f,81
AzuritePickup,-903559,3164,3448,f,81
ScrapMetalPart,-915554,-17462,1145,f,81
RhyolitePickup,-923339,-12638,966,f,81
AzuritePickup,-894922,-1160,1019,f,81
ScrapMetalPart,-895373,-1276,1118,f,81
FuelCellPart,-928731,27480,1455,f,81
ScrapMetalWreckage,-895397,-1415,1149,f,81
ScrapMetalWreckage,-894127,-149,848,f,81
BrittleBush,-916129,11815,4725,f,81
ScrapMetalPart,-925033,29226,1047,f,81
RhyolitePickup,-914661,13704,7265,f,81
TitaniumPickup,-919579,13739,7174,f,81
BasaltOre,-906003,10774,3839,f,81
BasaltOre,-913340,-3948,5731,f,81
RhyolitePickup,-899229,-12314,1024,f,81
BauxiteOre,-922186,23873,3553,f,81
ScrapMetalPart,-916263,-1523,3562,f,81
BrittleBush,-920998,-11432,1749,f,81
ScrapMetalPart,-898703,-10289,1074,f,81
BrittleBush,-917380,-14306,1881,f,81
ScrapMetalPart,-929590,29998,1548,f,81
AzuritePickup,-900764,-10412,2477,f,81
BauxitePickup,-912368,2778,8622,f,81
ScrapMetalPart,-896661,13652,1246,f,81
RhyolitePickup,-922770,20856,1920,f,81
TitaniumPickup,-918635,6176,9262,f,81
FuelCellPart,-923372,8,2503,f,81
RhyolitePickup,-929311,-2436,1687,f,81
BauxiteOre,-920667,9501,4419,f,81
FuelCellPart,-898123,-10732,1083,f,81
StravidiumOre,-909499,4145,6239,f,81
ScrapMetalWreckage,-914679,-12333,2742,f,81
FuelCellWreckage,-892650,1801,749,f,81
ScrapMetalPart,-921054,-3109,2771,f,81
FuelCellPart,-912048,-712,5006,f,81
AzuritePickup,-922896,-8062,2181,f,81
FuelCellPart,-920244,-127,2934,f,81
StravidiumPickup,-909419,4506,6288,f,81
ScrapMetalWreckage,-923984,30707,1018,f,81
AzuritePickup,-918048,19640,5961,f,81
FuelCellPart,-915061,-4246,4055,f,81
ScrapMetalPart,-918084,15216,7269,f,81
ScrapMetalPart,-904884,-2633,4135,f,81
ScrapMetalWreckage,-923947,-10308,1453,f,81
RhyolitePickup,-926350,12794,1536,f,81
ScrapMetalWreckage,-898731,-10024,1115,f,81
ScrapMetalPart,-918444,-3406,3183,f,81
ScrapMetalWreckage,-894918,-6097,1387,f,81
ScrapMetalPart,-909729,-17587,1053,f,81
FuelCellPart,-914951,-14339,2073,f,81
ScrapMetalWreckage,-922477,30798,927,f,81
ScrapMetalWreckage,-925711,10455,1942,f,81
FuelCellWreckage,-917120,-5937,3409,f,81
ScrapMetalPart,-922570,-520,2503,f,81
ScrapMetalWreckage,-925814,-582,2026,f,81
BrittleBush,-913392,19191,3229,f,81
RhyolitePickup,-926549,-10390,1284,f,81
ScrapMetalPart,-907721,-8991,5745,f,81
BrittleBush,-921626,-12931,1378,f,81
ScrapMetalPart,-906432,-9297,5748,f,81
FuelCellPart,-905173,9094,3881,f,81
FuelCellPart,-893426,2433,1080,f,81
ScrapMetalPart,-925748,-797,1997,f,81
FuelCellPart,-915821,-16840,1230,f,81
ScrapMetalPart,-922022,6746,3502,f,81
ScrapMetalPart,-922702,-3787,2508,f,81
ScrapMetalPart,-923533,-1671,2160,f,81
RhyolitePickup,-920069,-6412,3014,f,81
BrittleBush,-897348,-9495,1132,f,81
RhyolitePickup,-925415,17743,1404,f,81
RhyolitePickup,-916365,6954,9272,f,81
ScrapMetalPart,-924186,-10190,1484,f,81
FuelCellPart,-917773,-384,3361,f,81
FuelCellPart,-916820,14769,7174,f,81
ScrapMetalPart,-923930,218,2488,f,81
ScrapMetalWreckage,-908355,2350,5219,f,81
StravidiumOre,-920784,15486,8397,f,81
ScrapMetalPart,-893806,2182,994,f,81
BrittleBush,-920555,23048,3822,f,81
ScrapMetalPart,-924104,14247,2074,f,81
ScrapMetalPart,-905136,7474,4006,f,81
BrittleBush,-925585,25966,788,f,81
ScrapMetalPart,-907392,16730,3164,f,81
BrittleBush,-900559,-11745,1500,f,81
ScrapMetalWreckage,-916975,-1757,3357,f,81
AzuritePickup,-922997,-15547,804,f,81
TitaniumPickup,-921457,1112,3100,f,81
ScrapMetalWreckage,-907796,-8725,5752,f,81
FuelCellWreckage,-905439,9165,3948,f,81
ScrapMetalPart,-916018,-10877,3065,f,81
FuelCellPart,-894893,-725,978,f,81
ScrapMetalWreckage,-918228,19957,5952,f,81
TitaniumOre,-918572,5771,9283,f,81
ScrapMetalWreckage,-926390,15364,1732,f,81
RhyolitePickup,-917041,-4095,3437,f,81
RhyolitePickup,-900600,-12091,1458,f,81
AzuritePickup,-929024,9444,1451,f,81
FuelCellWreckage,-915215,-7084,3729,f,81
RhyolitePickup,-924372,28848,727,f,81
ScrapMetalPart,-895504,8110,1721,f,81
ScrapMetalWreckage,-923791,21,2444,f,81
RhyolitePickup,-925566,6193,2608,f,81
BasaltPickup,-926028,27638,836,f,81
ScrapMetalPart,-908248,2103,5221,f,81
FuelCellPart,-917414,-251,3438,f,81
ScrapMetalWreckage,-923671,-3067,2190,f,81
BrittleBush,-924483,10263,2368,f,81
ScrapMetalWreckage,-893668,1953,914,f,81
ScrapMetalPart,-912532,-18082,938,f,81
ScrapMetalPart,-923700,-3064,2187,f,81
ScrapMetalPart,-916998,-1759,3360,f,81
ScrapMetalWreckage,-921009,-4393,2907,f,81
BrittleBush,-913840,-8780,3461,f,81
BasaltOre,-899587,-6429,3407,f,81
FuelCellPart,-909926,23251,1494,f,81
RhyolitePickup,-910604,17158,4210,f,81
BasaltOre,-901010,-1041,2123,f,81
FuelCellPart,-885201,26718,4189,f,81
AzuritePickup,-884814,29424,3935,f,81
ScrapMetalWreckage,-883778,31434,3420,f,81
BrittleBush,-880694,25963,4709,f,81
ScrapMetalPart,-885142,27597,4166,f,81
ScrapMetalWreckage,-884021,29880,3961,f,81
ScrapMetalPart,-884294,29834,3943,f,81
TitaniumOre,-884855,27473,4196,f,81
FuelCellPart,-883948,28716,4344,f,81
RhyolitePickup,-883358,32465,3321,f,81
RhyolitePickup,-885298,27106,4192,f,81
ScrapMetalPart,-883879,30562,3758,f,81
BrittleBush,-878537,31804,4567,f,81
ScrapMetalPart,-883206,32787,3327,f,81
ScrapMetalPart,-882786,22999,4125,f,81
BrittleBush,-883291,30147,4019,f,81
ScrapMetalPart,-883783,31657,3356,f,81
BrittleBush,-882007,32593,3457,f,81
BrittleBush,-884442,28204,4286,f,81
ScrapMetalPart,-881593,33382,3536,f,81
FuelCellPart,-1115685,1089630,21932,f,13
RhyolitePickup,-1131236,1075458,15606,f,13
ScrapMetalPart,-1134830,1074951,15593,f,13
ScrapMetalPart,-1106570,1096958,16619,f,13
AzuritePickup,-1116403,1091701,21707,f,13
FuelCellPart,-1130470,1075204,15739,f,13
ScrapMetalPart,-1086430,1098507,17941,f,13
StravidiumPickup,-1084777,1097381,17705,f,13
ScrapMetalPart,-1114506,1082315,20180,f,13
RhyolitePickup,-1084099,1094554,17257,f,13
ScrapMetalPart,-1090910,1101966,16755,f,13
FuelCellPart,-1090200,1101619,16865,f,13
RhyolitePickup,-1090549,1098923,16849,f,13
ScrapMetalWreckage,-1086247,1097553,18130,f,13
ScrapMetalWreckage,-1134794,1075123,15636,f,13
ScrapMetalWreckage,-1086695,1098425,17939,f,13
AzuritePickup,-1085325,1100575,17772,f,13
AzuritePickup,-1113697,1082093,20251,f,13
ScrapMetalPart,-785279,6895,1529,f,81
FuelCellPart,-810491,-1337,-2510,f,81
MagnetitePickup,-819547,12477,5619,f,81
ScrapMetalWreckage,-785160,7131,1536,f,81
ScrapMetalWreckage,-802818,-1408,7302,f,81
FuelCellPart,-795661,-11549,2364,f,81
MagnetitePickup,-798735,2641,4924,f,81
MagnetitePickup,-805604,15686,4688,f,81
RhyolitePickup,-812439,-1029,-2539,f,81
ScrapMetalWreckage,-796275,12993,3283,f,81
RhyolitePickup,-829225,-9212,1789,f,81
MagnetitePickup,-801722,-12670,5757,f,81
MagnetitePickup,-795471,-17338,602,f,81
MagnetitePickup,-823354,727,6670,f,81
ScrapMetalPart,-833131,14366,1487,f,81
FuelCellWreckage,-814873,-1784,-2169,f,81
AzuritePickup,-816750,-8745,-1906,f,81
ScrapMetalPart,-806366,-17118,1399,f,81
FuelCellPart,-785909,5097,1617,f,81
MagnetitePickup,-781700,5413,1565,f,81
ScrapMetalPart,-807635,22014,2535,f,81
AzuritePickup,-794453,15611,2550,f,81
ScrapMetalWreckage,-795078,-12107,2029,f,81
ScrapMetalWreckage,-803812,10308,7028,f,81
ScrapMetalPart,-830596,3879,2394,f,81
RhyolitePickup,-784351,1891,1901,f,81
MagnetitePickup,-805253,-12257,6023,f,81
MagnetitePickup,-804184,14774,4893,f,81
ScrapMetalWreckage,-804803,-13341,5775,f,81
MagnetitePickup,-830701,1779,3403,f,81
ScrapMetalPart,-803558,10429,7011,f,81
MagnetitePickup,-823796,-8362,4848,f,81
ScrapMetalPart,-794171,14705,2530,f,81
ScrapMetalPart,-825977,-11704,2157,f,81
ScrapMetalPart,-824654,-10968,2669,f,81
ScrapMetalPart,-804798,-13106,5786,f,81
ScrapMetalPart,-794064,-148,3068,f,81
RhyolitePickup,-805971,-6401,-1619,f,81
FuelCellPart,-801123,16627,3564,f,81
RhyolitePickup,-794538,7296,4090,f,81
MagnetitePickup,-815938,-8946,-1974,f,81
ScrapMetalWreckage,-831766,-460,1698,f,81
