         t          |   x    |    y    |  z   | long_range 
 FuelCellPart       |   5159 | -211606 | 5774 | f
 FuelCellPart       |   5175 | -190051 | 1847 | f
 FuelCellPart       |   6562 | -212384 | 5771 | f
 FuelCellPart       |   7711 | -203872 | 8959 | f
 FuelCellPart       |   8958 | -190493 | 1372 | f
 FuelCellWreckage   | -17534 | -211911 |  453 | f
 FuelCellWreckage   | -12559 | -213189 | 1026 | f
 FuelCellWreckage   |  -7522 | -205908 | 3810 | f
 FuelCellWreckage   |  -1718 | -206950 | 4918 | f
 FuelCellWreckage   |  -1105 | -195336 | 3115 | f
 FuelCellWreckage   |    193 | -213376 | 3612 | f
 FuelCellWreckage   |   2956 | -194142 | 2469 | f
 FuelCellWreckage   |   4749 | -199143 | 4013 | f
 FuelCellWreckage   |   5051 | -211356 | 5777 | f
 RhyoliteOre        | -16774 | -200794 | 2411 | f
 RhyoliteOre        |  -4204 | -196734 | 4644 | f
 RhyolitePickup     | -18726 | -202885 |  794 | f
 RhyolitePickup     | -18668 | -203627 |  723 | f
 RhyolitePickup     | -13817 | -189963 |  636 | f
 RhyolitePickup     | -11899 | -189111 |  908 | f
 RhyolitePickup     |  -9821 | -188197 |  914 | f
 RhyolitePickup     |  -7864 | -200707 | 5433 | f
 RhyolitePickup     |  -7753 | -206426 | 3833 | f
 RhyolitePickup     |  -4392 | -211013 | 3147 | f
 RhyolitePickup     |  -4290 | -186065 |  907 | f
 RhyolitePickup     |  -3811 | -196630 | 4655 | f
 RhyolitePickup     |  -1972 | -197547 | 3754 | f
 RhyolitePickup     |  -1213 | -202502 | 4751 | f
 RhyolitePickup     |  -1050 | -193831 | 2941 | f
 RhyolitePickup     |   1365 | -184953 |  982 | f
 RhyolitePickup     |   2186 | -195929 | 2662 | f
 RhyolitePickup     |   2554 | -198549 | 3137 | f
 RhyolitePickup     |   3614 | -189151 | 2081 | f
 RhyolitePickup     |   4166 | -192262 | 2055 | f
 RhyolitePickup     |   7074 | -192489 | 1765 | f
 RhyolitePickup     |   7697 | -203491 | 8946 | f
 RhyolitePickup     |   9081 | -185579 |  868 | f
 RhyolitePickup     |   9306 | -190601 | 1396 | f
 ScrapMetalPart     | -17893 | -208453 |  598 | f
 ScrapMetalPart     | -17545 | -205393 |  772 | f
 ScrapMetalPart     | -15366 | -192351 |  751 | f
 ScrapMetalPart     | -15038 | -206086 | 1545 | f
 ScrapMetalPart     | -14057 | -213725 |  891 | f
 ScrapMetalPart     | -12531 | -204930 | 3265 | f
 ScrapMetalPart     | -11722 | -192416 | 1992 | f
 ScrapMetalPart     | -10709 | -187979 |  846 | f
 ScrapMetalPart     | -10447 | -199681 | 5444 | f
 ScrapMetalPart     | -10341 | -207349 | 3792 | f
 ScrapMetalPart     |  -9398 | -200990 | 5418 | f
 ScrapMetalPart     |  -7942 | -192480 | 2516 | f
 ScrapMetalPart     |  -7183 | -187205 |  977 | f
 ScrapMetalPart     |  -5489 | -193460 | 2901 | f
 ScrapMetalPart     |  -4995 | -195241 | 3314 | f
 ScrapMetalPart     |  -4011 | -205817 | 4957 | f
 ScrapMetalPart     |  -3805 | -185531 |  714 | f
 ScrapMetalPart     |  -3488 | -208053 | 4725 | f
 ScrapMetalPart     |  -3352 | -191950 | 2742 | f
 ScrapMetalPart     |  -3205 | -194503 | 3076 | f
 ScrapMetalPart     |  -2382 | -186107 |  744 | f
 ScrapMetalPart     |  -2218 | -191209 | 2584 | f
 ScrapMetalPart     |  -1963 | -201595 | 4759 | f
 ScrapMetalPart     |  -1959 | -185878 |  711 | f
 ScrapMetalPart     |  -1816 | -185527 |  646 | f
 ScrapMetalPart     |  -1231 | -185267 |  680 | f
 ScrapMetalPart     |  -1135 | -184837 |  618 | f
 ScrapMetalPart     |  -1129 | -192576 | 2823 | f
 ScrapMetalPart     |   -906 | -195977 | 3163 | f
 ScrapMetalPart     |   -406 | -199876 | 3954 | f
 ScrapMetalPart     |   -297 | -198793 | 3485 | f
 ScrapMetalPart     |   -153 | -206317 | 5747 | f
 ScrapMetalPart     |    -98 | -186818 | 1183 | f
 ScrapMetalPart     |    -71 | -190648 | 2325 | f
 ScrapMetalPart     |    -63 | -186042 | 1003 | f
 ScrapMetalPart     |    305 | -199881 | 3783 | f
 ScrapMetalPart     |    377 | -189785 | 2045 | f
 ScrapMetalPart     |    578 | -189212 | 1880 | f
 ScrapMetalPart     |    839 | -198523 | 3260 | f
 ScrapMetalPart     |   1168 | -197825 | 3059 | f
 ScrapMetalPart     |   1170 | -199304 | 3465 | f
 ScrapMetalPart     |   2784 | -204360 | 8535 | f
 ScrapMetalPart     |   3573 | -192270 | 2207 | f
 ScrapMetalPart     |   3955 | -190389 | 2017 | f
 ScrapMetalPart     |   4206 | -195132 | 2337 | f
 ScrapMetalPart     |   4782 | -192032 | 1886 | f
 ScrapMetalPart     |   5500 | -191761 | 1700 | f
 ScrapMetalPart     |   6753 | -184677 |  810 | f
 ScrapMetalPart     |   6806 | -194367 | 2202 | f
 ScrapMetalPart     |   6966 | -191605 | 1569 | f
 ScrapMetalPart     |   7027 | -194713 | 2335 | f
 ScrapMetalPart     |   7340 | -194102 | 2187 | f
 ScrapMetalPart     |   7490 | -193774 | 2132 | f
 ScrapMetalPart     |   7837 | -192080 | 1696 | f
 ScrapMetalPart     |   7861 | -190493 | 1426 | f
 ScrapMetalPart     |   8446 | -190446 | 1377 | f
 ScrapMetalPart     |   8696 | -184038 | 1048 | f
 ScrapMetalPart     |   9440 | -184542 | 1134 | f
 ScrapMetalPart     |   9530 | -185221 |  973 | f
 ScrapMetalPart     |   9992 | -189247 | 1212 | f
 ScrapMetalPart     |  10010 | -185560 | 1032 | f
 ScrapMetalPart     |  10600 | -213544 | 3894 | f
 ScrapMetalWreckage | -17332 | -205552 |  814 | f
 ScrapMetalWreckage | -15297 | -206048 | 1448 | f
 ScrapMetalWreckage | -15138 | -192208 |  757 | f
 ScrapMetalWreckage | -14229 | -213687 |  897 | f
 ScrapMetalWreckage | -11901 | -192415 | 1982 | f
 ScrapMetalWreckage | -10202 | -199807 | 5450 | f
 ScrapMetalWreckage |  -9467 | -200912 | 5417 | f
 ScrapMetalWreckage |  -8148 | -192312 | 2441 | f
 ScrapMetalWreckage |  -5758 | -193481 | 2919 | f
 ScrapMetalWreckage |  -4977 | -195038 | 3256 | f
 ScrapMetalWreckage |  -3558 | -185639 |  702 | f
 ScrapMetalWreckage |  -3112 | -194399 | 3050 | f
 ScrapMetalWreckage |  -2203 | -191212 | 2568 | f
 ScrapMetalWreckage |  -2173 | -201433 | 4822 | f
 ScrapMetalWreckage |  -1994 | -186152 |  773 | f
 ScrapMetalWreckage |  -1547 | -185516 |  679 | f
 ScrapMetalWreckage |   -700 | -194392 | 2977 | f
 ScrapMetalWreckage |   -627 | -199878 | 4015 | f
 ScrapMetalWreckage |   -348 | -186913 | 1152 | f
 ScrapMetalWreckage |   -301 | -186184 |  990 | f
 ScrapMetalWreckage |    205 | -190728 | 2315 | f
 ScrapMetalWreckage |    687 | -187888 | 1606 | f
 ScrapMetalWreckage |    688 | -198301 | 3206 | f
 ScrapMetalWreckage |    968 | -199128 | 3431 | f
 ScrapMetalWreckage |   1153 | -197843 | 3055 | f
 ScrapMetalWreckage |   3787 | -192114 | 2140 | f
 ScrapMetalWreckage |   3979 | -190410 | 2012 | f
 ScrapMetalWreckage |   4760 | -192052 | 1889 | f
 ScrapMetalWreckage |   5461 | -191556 | 1687 | f
 ScrapMetalWreckage |   6485 | -184643 |  828 | f
 ScrapMetalWreckage |   6727 | -191486 | 1557 | f
 ScrapMetalWreckage |   7102 | -194070 | 2143 | f
 ScrapMetalWreckage |   7104 | -194834 | 2383 | f
 ScrapMetalWreckage |   7955 | -190706 | 1420 | f
 ScrapMetalWreckage |   8039 | -192178 | 1725 | f
 ScrapMetalWreckage |   8429 | -183960 |  993 | f
 ScrapMetalWreckage |   9268 | -185170 |  908 | f
 ScrapMetalWreckage |   9833 | -185773 |  918 | f
 ScrapMetalWreckage |   9952 | -188984 | 1193 | f
 StravidiumOre      | -16097 | -206158 | 1147 | f
 StravidiumOre      | -13615 | -202233 | 5418 | f
 StravidiumOre      |   2061 | -199645 | 3416 | f
 StravidiumOre      |   5515 | -195843 | 2493 | f
 StravidiumOre      |   7750 | -201808 | 8981 | f
 StravidiumPickup   | -16447 | -205942 | 1038 | f
 StravidiumPickup   | -13265 | -201992 | 5445 | f
 StravidiumPickup   |   1657 | -199577 | 3472 | f
 StravidiumPickup   |   5255 | -195857 | 2487 | f
 StravidiumPickup   |   8089 | -202038 | 8960 | f
 TitaniumOre        |  -9004 | -204124 | 4011 | f
 TitaniumOre        |  -7923 | -207410 | 3867 | f
 TitaniumOre        |  -4368 | -198837 | 5388 | f
 TitaniumOre        |  -3870 | -207685 | 4724 | f
 TitaniumOre        |  -3814 | -198877 | 5474 | f
 TitaniumPickup     |  -8603 | -204212 | 4070 | f
 TitaniumPickup     |  -7990 | -207005 | 3897 | f
 TitaniumPickup     |  -4553 | -199094 | 5423 | f
 TitaniumPickup     |  -4075 | -198871 | 5424 | f
(211 rows)

